CodCurso;NomeCurso;Ano;Periodo;Vinculados;Matriculados;Ingressantes;Diplomados;Evadidos
909;ENGENHARIA DE ENERGIA;2010;1;29;29;29;0;0
320;ENGENHARIA DE MATERIAIS;2010;1;188;167;30;7;2
321;ENGENHARIA DE MINAS;2010;1;192;156;24;10;9
322;ENGENHARIA DE PRODUÇÃO;2010;1;352;323;33;19;2
323;ENGENHARIA ELÉTRICA;2010;1;568;514;42;21;13
911;ENGENHARIA FÍSICA;2010;1;29;29;29;0;0
324;ENGENHARIA MECÂNICA;2010;1;750;686;67;30;22
325;ENGENHARIA METALÚRGICA;2010;1;316;270;51;5;14
326;ENGENHARIA QUÍMICA;2010;1;455;424;42;22;7
327;ESTATÍSTICA;2010;1;236;193;47;8;10
328;FARMÁCIA;2010;1;838;710;56;74;41
329;FILOSOFIA;2010;1;326;251;70;5;20
330;FÍSICA;2010;1;641;506;111;15;58
1764;FÍSICA - LICENCIATURA;2010;1;2;2;0;0;0
812;FISIOTERAPIA;2010;1;59;58;30;0;0
730;FONOAUDIOLOGIA;2010;1;85;81;30;0;0
331;GEOGRAFIA;2010;1;439;357;33;22;14
332;GEOLOGIA;2010;1;243;228;42;2;5
333;HISTÓRIA;2010;1;622;523;108;5;25
908;HISTÓRIA DA ARTE;2010;1;29;29;29;0;0
1489;JORNALISMO;2010;1;7;5;0;0;0
334;LETRAS;2010;1;1372;1104;217;66;68
803;LETRAS - INGLÊS - ENSINO A DISTÂNCIA - EAD;2010;1;92;61;0;0;34
335;MATEMÁTICA;2010;1;660;523;101;7;58
800;MATEMÁTICA - ENSINO A DISTÂNCIA - EAD;2010;1;26;13;0;0;0
336;MEDICINA;2010;1;863;845;73;71;1
337;MEDICINA VETERINÁRIA;2010;1;498;477;40;29;4
731;MUSEOLOGIA;2010;1;85;76;31;0;3
338;MÚSICA;2010;1;268;231;33;10;8
673;MÚSICA - ENSINO A DISTÂNCIA - EAD;2010;1;640;421;0;0;1
339;NUTRIÇÃO;2010;1;173;160;29;0;4
340;ODONTOLOGIA;2010;1;443;432;48;32;2
341;PEDAGOGIA;2010;1;545;459;60;33;27
582;PEDAGOGIA - EAD;2010;1;351;337;0;0;2
914;POLÍTICAS PÚBLICAS;2010;1;44;44;44;0;0
342;PSICOLOGIA;2010;1;328;288;62;7;9
343;QUÍMICA;2010;1;513;431;44;19;36
357;RELAÇÕES INTERNACIONAIS;2010;1;211;198;59;2;4
1490;RELAÇÕES PÚBLICAS;2010;1;14;13;3;0;0
806;SAÚDE COLETIVA;2010;1;80;66;27;0;1
907;SERVIÇO SOCIAL;2010;1;31;31;31;0;0
302;TEATRO;2010;1;183;162;35;7;5
676;TECNOLOGIA EM DESENVOLVIMENTO RURAL - EAD;2010;1;616;610;8;0;117
298;ADMINISTRAÇÃO;2010;2;1526;1361;140;116;39
583;ADMINISTRAÇÃO - EAD;2010;2;345;345;0;247;5
299;AGRONOMIA;2010;2;487;435;43;48;15
300;ARQUITETURA E URBANISMO;2010;2;621;578;49;39;29
301;ARQUIVOLOGIA;2010;2;148;127;1;9;8
303;ARTES VISUAIS;2010;2;547;416;1;50;15
801;ARTES VISUAIS - ENSINO A DISTÂNCIA - EAD;2010;2;90;86;0;0;0
304;BIBLIOTECONOMIA;2010;2;413;372;39;35;13
361;BIOMEDICINA;2010;2;128;123;0;29;5
910;BIOTECNOLOGIA;2010;2;29;28;0;0;2
305;CIÊNCIA DA COMPUTAÇÃO;2010;2;588;513;31;34;36
306;CIÊNCIAS ATUARIAIS;2010;2;179;151;0;8;9
307;CIÊNCIAS BIOLÓGICAS;2010;2;599;505;50;59;28
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2010;2;83;82;20;18;1
802;CIÊNCIAS BIOLÓGICAS - ENSINO A DISTANCIA - EAD;2010;2;49;24;0;0;28
308;CIÊNCIAS CONTÁBEIS;2010;2;727;641;72;46;19
309;CIÊNCIAS ECONÔMICAS;2010;2;843;711;76;63;42
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2010;2;803;760;6;133;13
312;CIÊNCIAS SOCIAIS;2010;2;1034;807;3;67;58
313;COMUNICAÇÃO SOCIAL;2010;2;803;724;70;71;31
805;DANÇA;2010;2;59;42;0;0;4
524;DESIGN;2010;2;184;168;15;5;10
1481;DESIGN DE PRODUTO;2010;2;21;21;5;0;0
1482;DESIGN VISUAL;2010;2;29;28;9;0;0
314;EDUCAÇÃO FÍSICA;2010;2;837;733;79;69;38
315;ENFERMAGEM;2010;2;458;430;49;46;5
526;ENGENHARIA AMBIENTAL;2010;2;145;136;0;3;7
316;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;2010;2;170;134;0;7;15
317;ENGENHARIA CIVIL;2010;2;988;881;74;57;43
319;ENGENHARIA DE ALIMENTOS;2010;2;170;155;0;26;11
318;ENGENHARIA DE COMPUTAÇÃO;2010;2;254;238;31;12;15
714;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;2010;2;87;77;0;0;8
909;ENGENHARIA DE ENERGIA;2010;2;30;23;1;0;7
320;ENGENHARIA DE MATERIAIS;2010;2;179;153;0;14;12
321;ENGENHARIA DE MINAS;2010;2;173;138;0;6;15
322;ENGENHARIA DE PRODUÇÃO;2010;2;360;328;27;23;10
323;ENGENHARIA ELÉTRICA;2010;2;571;524;37;37;31
911;ENGENHARIA FÍSICA;2010;2;29;26;0;0;4
324;ENGENHARIA MECÂNICA;2010;2;758;676;60;41;36
325;ENGENHARIA METALÚRGICA;2010;2;297;247;1;18;20
326;ENGENHARIA QUÍMICA;2010;2;460;429;35;36;18
327;ESTATÍSTICA;2010;2;219;167;1;10;32
328;FARMÁCIA;2010;2;822;693;56;76;44
329;FILOSOFIA;2010;2;304;218;3;15;34
330;FÍSICA;2010;2;595;480;29;19;70
1764;FÍSICA - LICENCIATURA;2010;2;4;4;2;0;0
812;FISIOTERAPIA;2010;2;59;55;0;0;3
730;FONOAUDIOLOGIA;2010;2;85;77;0;0;5
331;GEOGRAFIA;2010;2;445;363;33;37;26
332;GEOLOGIA;2010;2;236;224;0;22;6
333;HISTÓRIA;2010;2;600;503;5;48;22
908;HISTÓRIA DA ARTE;2010;2;29;25;0;0;1
1489;JORNALISMO;2010;2;8;7;1;0;0
334;LETRAS;2010;2;1241;977;3;64;86
803;LETRAS - INGLÊS - ENSINO A DISTÂNCIA - EAD;2010;2;58;40;0;0;7
335;MATEMÁTICA;2010;2;634;486;39;22;69
800;MATEMÁTICA - ENSINO A DISTÂNCIA - EAD;2010;2;26;11;0;0;0
336;MEDICINA;2010;2;863;851;72;59;3
337;MEDICINA VETERINÁRIA;2010;2;504;476;39;28;7
731;MUSEOLOGIA;2010;2;83;74;1;0;3
338;MÚSICA;2010;2;253;218;1;29;7
673;MÚSICA - ENSINO A DISTÂNCIA - EAD;2010;2;422;397;0;0;5
339;NUTRIÇÃO;2010;2;197;186;28;26;5
340;ODONTOLOGIA;2010;2;479;459;70;44;5
341;PEDAGOGIA;2010;2;545;462;60;34;25
582;PEDAGOGIA - EAD;2010;2;349;335;0;308;17
914;POLÍTICAS PÚBLICAS;2010;2;44;40;0;0;1
342;PSICOLOGIA;2010;2;344;295;32;38;12
343;QUÍMICA;2010;2;529;459;71;21;42
357;RELAÇÕES INTERNACIONAIS;2010;2;205;197;0;35;4
1490;RELAÇÕES PÚBLICAS;2010;2;16;14;2;0;0
806;SAÚDE COLETIVA;2010;2;108;85;29;0;4
907;SERVIÇO SOCIAL;2010;2;31;30;0;0;1
302;TEATRO;2010;2;172;148;1;23;8
676;TECNOLOGIA EM DESENVOLVIMENTO RURAL - EAD;2010;2;506;504;7;0;33
298;ADMINISTRAÇÃO;2011;1;1544;1394;174;100;37
583;ADMINISTRAÇÃO - EAD;2011;1;93;0;0;68;11
299;AGRONOMIA;2011;1;469;439;46;31;11
300;ARQUITETURA E URBANISMO;2011;1;603;566;51;40;18
301;ARQUIVOLOGIA;2011;1;162;142;31;6;9
303;ARTES VISUAIS;2011;1;593;485;97;1;20
801;ARTES VISUAIS - ENSINO A DISTÂNCIA - EAD;2011;1;90;73;0;0;17
304;BIBLIOTECONOMIA;2011;1;406;358;41;13;17
361;BIOMEDICINA;2011;1;130;127;36;0;2
910;BIOTECNOLOGIA;2011;1;58;56;31;0;3
305;CIÊNCIA DA COMPUTAÇÃO;2011;1;596;538;80;16;20
306;CIÊNCIAS ATUARIAIS;2011;1;209;180;48;2;11
307;CIÊNCIAS BIOLÓGICAS;2011;1;587;506;57;27;34
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2011;1;64;62;0;0;0
802;CIÊNCIAS BIOLÓGICAS - ENSINO A DISTANCIA - EAD;2011;1;21;19;0;0;2
308;CIÊNCIAS CONTÁBEIS;2011;1;760;673;98;48;23
309;CIÊNCIAS ECONÔMICAS;2011;1;826;711;89;34;48
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2011;1;812;780;155;9;5
312;CIÊNCIAS SOCIAIS;2011;1;1095;874;164;19;65
313;COMUNICAÇÃO SOCIAL;2011;1;773;711;72;57;16
805;DANÇA;2011;1;84;75;29;0;2
524;DESIGN;2011;1;181;166;12;1;9
1481;DESIGN DE PRODUTO;2011;1;34;34;13;0;0
1482;DESIGN VISUAL;2011;1;44;44;15;0;0
314;EDUCAÇÃO FÍSICA;2011;1;811;716;81;32;30
315;ENFERMAGEM;2011;1;463;435;56;47;14
526;ENGENHARIA AMBIENTAL;2011;1;163;151;29;0;4
316;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;2011;1;178;134;31;8;16
317;ENGENHARIA CIVIL;2011;1;981;889;93;48;31
319;ENGENHARIA DE ALIMENTOS;2011;1;167;154;34;0;14
318;ENGENHARIA DE COMPUTAÇÃO;2011;1;263;247;36;14;14
714;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;2011;1;109;101;30;0;8
909;ENGENHARIA DE ENERGIA;2011;1;52;47;29;0;3
320;ENGENHARIA DE MATERIAIS;2011;1;185;164;32;9;17
321;ENGENHARIA DE MINAS;2011;1;183;149;31;9;15
322;ENGENHARIA DE PRODUÇÃO;2011;1;356;343;31;31;10
323;ENGENHARIA ELÉTRICA;2011;1;544;486;41;28;21
911;ENGENHARIA FÍSICA;2011;1;54;51;29;0;5
324;ENGENHARIA MECÂNICA;2011;1;749;667;68;29;32
325;ENGENHARIA METALÚRGICA;2011;1;320;275;61;6;22
326;ENGENHARIA QUÍMICA;2011;1;450;419;45;30;11
327;ESTATÍSTICA;2011;1;224;180;47;5;24
328;FARMÁCIA;2011;1;813;686;54;55;40
329;FILOSOFIA;2011;1;323;252;68;6;23
330;FÍSICA;2011;1;633;512;128;10;67
1764;FÍSICA - LICENCIATURA;2011;1;5;5;1;0;0
812;FISIOTERAPIA;2011;1;85;84;29;0;0
730;FONOAUDIOLOGIA;2011;1;108;102;28;0;4
331;GEOGRAFIA;2011;1;431;367;33;14;19
332;GEOLOGIA;2011;1;249;235;41;0;2
333;HISTÓRIA;2011;1;667;583;115;3;31
908;HISTÓRIA DA ARTE;2011;1;55;50;27;0;3
1489;JORNALISMO;2011;1;16;14;8;0;0
334;LETRAS;2011;1;1323;1120;233;65;84
803;LETRAS - INGLÊS - ENSINO A DISTÂNCIA - EAD;2011;1;51;36;0;0;11
335;MATEMÁTICA;2011;1;635;496;93;22;65
800;MATEMÁTICA - ENSINO A DISTÂNCIA - EAD;2011;1;26;11;0;0;14
336;MEDICINA;2011;1;873;866;72;67;0
337;MEDICINA VETERINÁRIA;2011;1;518;495;49;33;8
731;MUSEOLOGIA;2011;1;111;100;31;0;3
338;MÚSICA;2011;1;295;259;74;6;14
673;MÚSICA - ENSINO A DISTÂNCIA - EAD;2011;1;417;346;0;0;2
339;NUTRIÇÃO;2011;1;195;183;29;1;8
340;ODONTOLOGIA;2011;1;479;464;49;40;5
341;PEDAGOGIA;2011;1;547;463;61;30;32
582;PEDAGOGIA - EAD;2011;1;24;23;0;21;3
914;POLÍTICAS PÚBLICAS;2011;1;90;85;47;0;3
342;PSICOLOGIA;2011;1;349;310;55;5;15
343;QUÍMICA;2011;1;522;451;57;21;43
357;RELAÇÕES INTERNACIONAIS;2011;1;226;220;60;3;3
1490;RELAÇÕES PÚBLICAS;2011;1;19;16;3;0;0
806;SAÚDE COLETIVA;2011;1;134;114;30;0;10
907;SERVIÇO SOCIAL;2011;1;60;60;30;0;1
302;TEATRO;2011;1;181;165;40;2;10
676;TECNOLOGIA EM DESENVOLVIMENTO RURAL - EAD;2011;1;475;455;2;132;30
298;ADMINISTRAÇÃO;2011;2;1585;1416;179;111;49
583;ADMINISTRAÇÃO - EAD;2011;2;14;0;0;0;14
299;AGRONOMIA;2011;2;480;434;53;34;15
300;ARQUITETURA E URBANISMO;2011;2;597;574;52;52;12
301;ARQUIVOLOGIA;2011;2;153;138;6;12;3
303;ARTES VISUAIS;2011;2;582;480;10;50;32
801;ARTES VISUAIS - ENSINO A DISTÂNCIA - EAD;2011;2;73;70;0;0;5
304;BIBLIOTECONOMIA;2011;2;411;374;35;34;10
361;BIOMEDICINA;2011;2;130;125;2;20;3
910;BIOTECNOLOGIA;2011;2;57;52;2;0;2
305;CIÊNCIA DA COMPUTAÇÃO;2011;2;603;542;45;33;25
306;CIÊNCIAS ATUARIAIS;2011;2;205;174;9;2;8
307;CIÊNCIAS BIOLÓGICAS;2011;2;594;517;59;57;32
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2011;2;84;82;20;17;2
802;CIÊNCIAS BIOLÓGICAS - ENSINO A DISTANCIA - EAD;2011;2;19;19;0;0;0
308;CIÊNCIAS CONTÁBEIS;2011;2;774;678;86;52;24
309;CIÊNCIAS ECONÔMICAS;2011;2;839;716;96;40;33
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2011;2;805;768;7;106;14
312;CIÊNCIAS SOCIAIS;2011;2;1043;833;31;59;65
313;COMUNICAÇÃO SOCIAL;2011;2;751;679;51;70;27
805;DANÇA;2011;2;83;68;1;0;4
524;DESIGN;2011;2;185;164;14;12;10
1481;DESIGN DE PRODUTO;2011;2;54;52;20;0;0
1482;DESIGN VISUAL;2011;2;59;59;15;0;0
314;EDUCAÇÃO FÍSICA;2011;2;829;731;80;76;30
315;ENFERMAGEM;2011;2;454;430;52;30;8
526;ENGENHARIA AMBIENTAL;2011;2;159;147;0;13;8
316;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;2011;2;158;119;4;0;16
317;ENGENHARIA CIVIL;2011;2;990;903;89;37;32
319;ENGENHARIA DE ALIMENTOS;2011;2;160;150;7;21;4
318;ENGENHARIA DE COMPUTAÇÃO;2011;2;274;256;39;10;16
714;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;2011;2;101;92;0;0;7
909;ENGENHARIA DE ENERGIA;2011;2;50;44;1;0;6
320;ENGENHARIA DE MATERIAIS;2011;2;165;148;6;9;10
321;ENGENHARIA DE MINAS;2011;2;163;137;4;7;16
322;ENGENHARIA DE PRODUÇÃO;2011;2;354;333;40;27;8
323;ENGENHARIA ELÉTRICA;2011;2;543;484;48;33;23
911;ENGENHARIA FÍSICA;2011;2;50;49;1;0;5
324;ENGENHARIA MECÂNICA;2011;2;758;687;70;38;38
325;ENGENHARIA METALÚRGICA;2011;2;298;247;7;16;23
326;ENGENHARIA QUÍMICA;2011;2;447;416;38;47;15
327;ESTATÍSTICA;2011;2;196;153;1;10;15
328;FARMÁCIA;2011;2;829;696;75;65;48
329;FILOSOFIA;2011;2;311;225;16;6;33
330;FÍSICA;2011;2;592;450;37;19;89
1764;FÍSICA - LICENCIATURA;2011;2;7;7;2;0;0
812;FISIOTERAPIA;2011;2;86;86;1;0;0
730;FONOAUDIOLOGIA;2011;2;104;100;0;4;3
331;GEOGRAFIA;2011;2;445;365;43;32;23
332;GEOLOGIA;2011;2;255;240;8;36;5
333;HISTÓRIA;2011;2;647;546;13;64;40
908;HISTÓRIA DA ARTE;2011;2;54;47;2;0;4
1489;JORNALISMO;2011;2;24;21;8;0;0
334;LETRAS;2011;2;1223;993;52;47;75
803;LETRAS - INGLÊS - ENSINO A DISTÂNCIA - EAD;2011;2;40;33;0;0;6
335;MATEMÁTICA;2011;2;600;480;52;37;65
800;MATEMÁTICA - ENSINO A DISTÂNCIA - EAD;2011;2;12;9;0;0;3
336;MEDICINA;2011;2;876;865;70;69;1
337;MEDICINA VETERINÁRIA;2011;2;526;508;49;35;9
731;MUSEOLOGIA;2011;2;108;100;0;6;1
338;MÚSICA;2011;2;276;236;1;39;10
673;MÚSICA - ENSINO A DISTÂNCIA - EAD;2011;2;415;345;0;0;91
339;NUTRIÇÃO;2011;2;219;205;33;21;5
340;ODONTOLOGIA;2011;2;509;494;75;37;6
341;PEDAGOGIA;2011;2;557;478;72;31;28
914;POLÍTICAS PÚBLICAS;2011;2;88;77;1;0;7
342;PSICOLOGIA;2011;2;368;330;39;30;11
343;QUÍMICA;2011;2;547;477;89;31;50
357;RELAÇÕES INTERNACIONAIS;2011;2;221;204;1;27;5
1490;RELAÇÕES PÚBLICAS;2011;2;31;29;12;0;0
806;SAÚDE COLETIVA;2011;2;150;132;26;0;5
907;SERVIÇO SOCIAL;2011;2;59;56;0;0;1
302;TEATRO;2011;2;170;154;1;20;4
676;TECNOLOGIA EM DESENVOLVIMENTO RURAL - EAD;2011;2;313;300;0;110;31
298;ADMINISTRAÇÃO;2012;1;1626;1464;201;74;47
299;AGRONOMIA;2012;1;475;430;44;23;14
300;ARQUITETURA E URBANISMO;2012;1;590;569;57;29;10
301;ARQUIVOLOGIA;2012;1;179;158;41;6;6
303;ARTES VISUAIS;2012;1;617;505;103;5;16
801;ARTES VISUAIS - ENSINO A DISTÂNCIA - EAD;2012;1;68;68;0;0;0
304;BIBLIOTECONOMIA;2012;1;403;366;36;36;8
361;BIOMEDICINA;2012;1;145;135;38;0;4
910;BIOTECNOLOGIA;2012;1;87;84;32;0;2
305;CIÊNCIA DA COMPUTAÇÃO;2012;1;630;569;85;30;29
306;CIÊNCIAS ATUARIAIS;2012;1;246;217;51;16;14
307;CIÊNCIAS BIOLÓGICAS;2012;1;594;530;70;17;23
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2012;1;65;62;0;2;2
802;CIÊNCIAS BIOLÓGICAS - ENSINO A DISTANCIA - EAD;2012;1;19;19;0;0;0
308;CIÊNCIAS CONTÁBEIS;2012;1;785;696;87;35;22
309;CIÊNCIAS ECONÔMICAS;2012;1;856;746;90;48;49
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2012;1;836;802;151;7;7
312;CIÊNCIAS SOCIAIS;2012;1;1130;895;195;20;61
313;COMUNICAÇÃO SOCIAL;2012;1;699;629;45;43;28
805;DANÇA;2012;1;114;102;35;0;2
524;DESIGN;2012;1;176;156;13;9;9
1481;DESIGN DE PRODUTO;2012;1;71;69;17;0;0
1482;DESIGN VISUAL;2012;1;72;72;13;0;0
314;EDUCAÇÃO FÍSICA;2012;1;823;715;100;35;35
315;ENFERMAGEM;2012;1;469;439;53;40;7
526;ENGENHARIA AMBIENTAL;2012;1;169;159;31;4;4
316;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;2012;1;174;146;32;1;15
317;ENGENHARIA CIVIL;2012;1;1016;931;95;29;34
319;ENGENHARIA DE ALIMENTOS;2012;1;173;166;38;0;3
318;ENGENHARIA DE COMPUTAÇÃO;2012;1;278;264;30;15;9
714;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;2012;1;132;123;38;0;8
909;ENGENHARIA DE ENERGIA;2012;1;71;65;27;0;4
320;ENGENHARIA DE MATERIAIS;2012;1;181;160;35;3;3
321;ENGENHARIA DE MINAS;2012;1;179;164;39;7;8
322;ENGENHARIA DE PRODUÇÃO;2012;1;353;340;34;18;7
323;ENGENHARIA ELÉTRICA;2012;1;535;487;48;23;36
911;ENGENHARIA FÍSICA;2012;1;79;77;34;0;5
324;ENGENHARIA MECÂNICA;2012;1;749;686;67;40;22
325;ENGENHARIA METALÚRGICA;2012;1;336;292;77;13;22
326;ENGENHARIA QUÍMICA;2012;1;425;401;40;22;10
327;ESTATÍSTICA;2012;1;209;170;38;1;16
328;FARMÁCIA;2012;1;829;702;75;63;55
329;FILOSOFIA;2012;1;368;295;94;3;25
330;FÍSICA;2012;1;606;475;122;12;69
1764;FÍSICA - LICENCIATURA;2012;1;7;5;0;0;0
812;FISIOTERAPIA;2012;1;117;112;31;0;3
730;FONOAUDIOLOGIA;2012;1;127;121;30;0;3
331;GEOGRAFIA;2012;1;432;360;36;16;24
332;GEOLOGIA;2012;1;252;240;38;0;4
333;HISTÓRIA;2012;1;697;583;113;6;28
908;HISTÓRIA DA ARTE;2012;1;78;70;28;0;4
1489;JORNALISMO;2012;1;40;37;16;0;0
334;LETRAS;2012;1;1326;1113;225;49;94
803;LETRAS - INGLÊS - ENSINO A DISTÂNCIA - EAD;2012;1;34;32;0;0;1
335;MATEMÁTICA;2012;1;589;461;91;16;56
800;MATEMÁTICA - ENSINO A DISTÂNCIA - EAD;2012;1;14;14;5;0;0
336;MEDICINA;2012;1;876;858;70;72;4
337;MEDICINA VETERINÁRIA;2012;1;531;510;49;27;5
731;MUSEOLOGIA;2012;1;134;126;33;1;4
338;MÚSICA;2012;1;297;256;70;3;11
673;MÚSICA - ENSINO A DISTÂNCIA - EAD;2012;1;324;258;0;189;41
339;NUTRIÇÃO;2012;1;227;218;34;0;3
340;ODONTOLOGIA;2012;1;512;492;46;29;6
341;PEDAGOGIA;2012;1;562;495;64;33;18
914;POLÍTICAS PÚBLICAS;2012;1;133;123;52;0;2
342;PSICOLOGIA;2012;1;396;365;69;2;11
343;QUÍMICA;2012;1;534;464;68;25;42
357;RELAÇÕES INTERNACIONAIS;2012;1;252;235;63;2;3
1490;RELAÇÕES PÚBLICAS;2012;1;46;46;15;0;0
806;SAÚDE COLETIVA;2012;1;171;138;26;0;11
907;SERVIÇO SOCIAL;2012;1;84;81;26;0;1
302;TEATRO;2012;1;188;171;42;4;3
676;TECNOLOGIA EM DESENVOLVIMENTO RURAL - EAD;2012;1;172;171;0;0;5
1071;ZOOTECNIA;2012;1;24;24;24;0;1
298;ADMINISTRAÇÃO;2012;2;1693;1488;189;111;62
299;AGRONOMIA;2012;2;487;436;49;17;22
300;ARQUITETURA E URBANISMO;2012;2;608;579;57;39;11
301;ARQUIVOLOGIA;2012;2;167;140;1;21;10
303;ARTES VISUAIS;2012;2;610;468;14;45;39
801;ARTES VISUAIS - ENSINO A DISTÂNCIA - EAD;2012;2;68;67;0;66;1
304;BIBLIOTECONOMIA;2012;2;394;342;38;30;17
361;BIOMEDICINA;2012;2;141;131;0;13;2
910;BIOTECNOLOGIA;2012;2;86;76;1;0;10
305;CIÊNCIA DA COMPUTAÇÃO;2012;2;604;542;33;31;25
306;CIÊNCIAS ATUARIAIS;2012;2;221;182;7;1;13
307;CIÊNCIAS BIOLÓGICAS;2012;2;617;532;57;58;25
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2012;2;81;79;20;12;1
802;CIÊNCIAS BIOLÓGICAS - ENSINO A DISTANCIA - EAD;2012;2;19;19;0;0;0
308;CIÊNCIAS CONTÁBEIS;2012;2;814;722;87;43;37
309;CIÊNCIAS ECONÔMICAS;2012;2;842;742;86;51;52
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2012;2;963;917;143;143;11
312;CIÊNCIAS SOCIAIS;2012;2;1104;820;53;70;73
313;COMUNICAÇÃO SOCIAL;2012;2;665;602;37;44;25
805;DANÇA;2012;2;114;94;2;5;5
524;DESIGN;2012;2;170;146;12;12;10
1481;DESIGN DE PRODUTO;2012;2;91;90;20;0;0
1482;DESIGN VISUAL;2012;2;88;88;16;0;0
314;EDUCAÇÃO FÍSICA;2012;2;843;742;90;98;32
315;ENFERMAGEM;2012;2;472;440;50;33;10
526;ENGENHARIA AMBIENTAL;2012;2;164;152;3;11;3
316;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;2012;2;162;129;5;3;11
317;ENGENHARIA CIVIL;2012;2;1040;961;87;53;36
319;ENGENHARIA DE ALIMENTOS;2012;2;172;153;2;15;4
318;ENGENHARIA DE COMPUTAÇÃO;2012;2;285;272;32;10;14
714;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;2012;2;125;120;1;2;3
909;ENGENHARIA DE ENERGIA;2012;2;72;62;5;0;8
320;ENGENHARIA DE MATERIAIS;2012;2;185;167;10;8;8
321;ENGENHARIA DE MINAS;2012;2;166;149;2;11;8
322;ENGENHARIA DE PRODUÇÃO;2012;2;369;350;41;29;4
323;ENGENHARIA ELÉTRICA;2012;2;526;492;50;35;15
911;ENGENHARIA FÍSICA;2012;2;77;75;3;0;1
1077;ENGENHARIA HÍDRICA;2012;2;22;22;22;0;1
324;ENGENHARIA MECÂNICA;2012;2;759;702;74;47;30
325;ENGENHARIA METALÚRGICA;2012;2;319;284;18;21;19
326;ENGENHARIA QUÍMICA;2012;2;430;402;38;33;13
327;ESTATÍSTICA;2012;2;192;152;1;13;21
328;FARMÁCIA;2012;2;812;680;64;44;46
329;FILOSOFIA;2012;2;349;240;9;7;42
330;FÍSICA;2012;2;571;418;48;20;70
1764;FÍSICA - LICENCIATURA;2012;2;8;7;1;0;0
812;FISIOTERAPIA;2012;2;116;107;2;0;3
730;FONOAUDIOLOGIA;2012;2;124;117;0;28;3
