Ano;ProcessoSeletivo;Curso;SiglaModalidadeVaga;ModalidadeVaga;Semestre;NrVagas
2018;Vestibular;Administração Pública e Social - Noturno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;1
2018;Vestibular;Administração Pública e Social - Noturno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;2;2
2018;Vestibular;Administração Pública e Social - Noturno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;2
2018;Vestibular;Administração Pública e Social - Noturno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;2;2
2018;Vestibular;Agronomia;AC/A0;Ampla Concorrência;1;15
2018;Vestibular;Agronomia;AC/A0;Ampla Concorrência;2;15
2018;Vestibular;Agronomia;L1;Egresso de Escola Pública - Renda Inferior;1;2
2018;Vestibular;Agronomia;L1;Egresso de Escola Pública - Renda Inferior;2;2
2018;Vestibular;Agronomia;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Agronomia;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Agronomia;L13;Egresso de Escola Pública - Pessoa com deficiência;1;2
2018;Vestibular;Agronomia;L13;Egresso de Escola Pública - Pessoa com deficiência;2;2
2018;Vestibular;Agronomia;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Agronomia;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Agronomia;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;2
2018;Vestibular;Agronomia;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;2;2
2018;Vestibular;Agronomia;L3/L5;Egresso de Escola Pública;1;2
2018;Vestibular;Agronomia;L3/L5;Egresso de Escola Pública;2;1
2018;Vestibular;Agronomia;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;2
2018;Vestibular;Agronomia;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;2;2
2018;Vestibular;Agronomia;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;2
2018;Vestibular;Agronomia;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;2;2
2018;Vestibular;Arquitetura e Urbanismo;AC/A0;Ampla Concorrência;1;19
2018;Vestibular;Arquitetura e Urbanismo;AC/A0;Ampla Concorrência;2;19
2018;Vestibular;Arquitetura e Urbanismo;L1;Egresso de Escola Pública - Renda Inferior;1;3
2018;Vestibular;Arquitetura e Urbanismo;L1;Egresso de Escola Pública - Renda Inferior;2;2
2018;Vestibular;Arquitetura e Urbanismo;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;3
2018;Vestibular;Arquitetura e Urbanismo;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Arquitetura e Urbanismo;L13;Egresso de Escola Pública - Pessoa com deficiência;1;2
2018;Vestibular;Arquitetura e Urbanismo;L13;Egresso de Escola Pública - Pessoa com deficiência;2;3
2018;Vestibular;Arquitetura e Urbanismo;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Arquitetura e Urbanismo;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;2;3
2018;Vestibular;Arquitetura e Urbanismo;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;3
2018;Vestibular;Arquitetura e Urbanismo;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;2;2
2018;Vestibular;Arquitetura e Urbanismo;L3/L5;Egresso de Escola Pública;1;2
2018;Vestibular;Arquitetura e Urbanismo;L3/L5;Egresso de Escola Pública;2;2
2018;Vestibular;Arquitetura e Urbanismo;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;2
2018;Vestibular;Arquitetura e Urbanismo;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;2;3
2018;Vestibular;Arquitetura e Urbanismo;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;3
2018;Vestibular;Arquitetura e Urbanismo;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;2;2
2018;Vestibular;Arquivologia - Noturno;AC/A0;Ampla Concorrência;1;10
2018;Vestibular;Arquivologia - Noturno;L1;Egresso de Escola Pública - Renda Inferior;1;1
2018;Vestibular;Arquivologia - Noturno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Arquivologia - Noturno;L13;Egresso de Escola Pública - Pessoa com deficiência;1;1
2018;Vestibular;Arquivologia - Noturno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Arquivologia - Noturno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;1
2018;Vestibular;Arquivologia - Noturno;L3/L5;Egresso de Escola Pública;1;1
2018;Vestibular;Arquivologia - Noturno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;1
2018;Vestibular;Arquivologia - Noturno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;2
2018;Vestibular;Artes Visuais - Bacharelado;AC/A0;Ampla Concorrência;1;22
2018;Vestibular;Artes Visuais - Bacharelado;L1;Egresso de Escola Pública - Renda Inferior;1;2
2018;Vestibular;Artes Visuais - Bacharelado;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;3
2018;Vestibular;Artes Visuais - Bacharelado;L13;Egresso de Escola Pública - Pessoa com deficiência;1;3
2018;Vestibular;Artes Visuais - Bacharelado;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;3
2018;Vestibular;Artes Visuais - Bacharelado;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;3
2018;Vestibular;Artes Visuais - Bacharelado;L3/L5;Egresso de Escola Pública;1;2
2018;Vestibular;Artes Visuais - Bacharelado;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;3
2018;Vestibular;Artes Visuais - Bacharelado;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;3
2018;Vestibular;Artes Visuais - Licenciatura;AC/A0;Ampla Concorrência;1;22
2018;Vestibular;Artes Visuais - Licenciatura;L1;Egresso de Escola Pública - Renda Inferior;1;2
2018;Vestibular;Artes Visuais - Licenciatura;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;3
2018;Vestibular;Artes Visuais - Licenciatura;L13;Egresso de Escola Pública - Pessoa com deficiência;1;3
2018;Vestibular;Artes Visuais - Licenciatura;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;3
2018;Vestibular;Artes Visuais - Licenciatura;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;3
2018;Vestibular;Artes Visuais - Licenciatura;L3/L5;Egresso de Escola Pública;1;2
2018;Vestibular;Artes Visuais - Licenciatura;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;3
2018;Vestibular;Artes Visuais - Licenciatura;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;3
2018;Vestibular;Bach. I. em Ciência e Tecnologia;AC/A0;Ampla Concorrência;1;32
2018;Vestibular;Bach. I. em Ciência e Tecnologia;AC/A0;Ampla Concorrência;2;31
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L1;Egresso de Escola Pública - Renda Inferior;1;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L1;Egresso de Escola Pública - Renda Inferior;2;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;2;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L13;Egresso de Escola Pública - Pessoa com deficiência;1;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L13;Egresso de Escola Pública - Pessoa com deficiência;2;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;2;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;2;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L3/L5;Egresso de Escola Pública;1;3
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L3/L5;Egresso de Escola Pública;2;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;2;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;4
2018;Vestibular;Bach. I. em Ciência e Tecnologia;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;2;4
2018;Vestibular;Biblioteconomia;AC/A0;Ampla Concorrência;1;13
2018;Vestibular;Biblioteconomia;AC/A0;Ampla Concorrência;2;13
2018;Vestibular;Biblioteconomia;L1;Egresso de Escola Pública - Renda Inferior;1;2
2018;Vestibular;Biblioteconomia;L1;Egresso de Escola Pública - Renda Inferior;2;1
2018;Vestibular;Biblioteconomia;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Biblioteconomia;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Biblioteconomia;L13;Egresso de Escola Pública - Pessoa com deficiência;1;1
2018;Vestibular;Biblioteconomia;L13;Egresso de Escola Pública - Pessoa com deficiência;2;2
2018;Vestibular;Biblioteconomia;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Biblioteconomia;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Biblioteconomia;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;2
2018;Vestibular;Biblioteconomia;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;2;1
2018;Vestibular;Biblioteconomia;L3/L5;Egresso de Escola Pública;1;1
2018;Vestibular;Biblioteconomia;L3/L5;Egresso de Escola Pública;2;2
2018;Vestibular;Biblioteconomia;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;1
2018;Vestibular;Biblioteconomia;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;2;2
2018;Vestibular;Biblioteconomia;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;2
2018;Vestibular;Biblioteconomia;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;2;1
2018;Vestibular;Biomedicina;AC/A0;Ampla Concorrência;1;12
2018;Vestibular;Biomedicina;L1;Egresso de Escola Pública - Renda Inferior;1;1
2018;Vestibular;Biomedicina;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Biomedicina;L13;Egresso de Escola Pública - Pessoa com deficiência;1;2
2018;Vestibular;Biomedicina;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Biomedicina;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;2
2018;Vestibular;Biomedicina;L3/L5;Egresso de Escola Pública;1;1
2018;Vestibular;Biomedicina;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;1
2018;Vestibular;Biomedicina;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;2
2018;Vestibular;Biotecnologia;AC/A0;Ampla Concorrência;1;10
2018;Vestibular;Biotecnologia;L1;Egresso de Escola Pública - Renda Inferior;1;1
2018;Vestibular;Biotecnologia;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Biotecnologia;L13;Egresso de Escola Pública - Pessoa com deficiência;1;1
2018;Vestibular;Biotecnologia;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Biotecnologia;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;1
2018;Vestibular;Biotecnologia;L3/L5;Egresso de Escola Pública;1;1
2018;Vestibular;Biotecnologia;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;1
2018;Vestibular;Biotecnologia;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;2
2018;Vestibular;Ciência da Computação;AC/A0;Ampla Concorrência;1;27
2018;Vestibular;Ciência da Computação;AC/A0;Ampla Concorrência;2;8
2018;Vestibular;Ciência da Computação;L1;Egresso de Escola Pública - Renda Inferior;1;3
2018;Vestibular;Ciência da Computação;L1;Egresso de Escola Pública - Renda Inferior;2;1
2018;Vestibular;Ciência da Computação;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;4
2018;Vestibular;Ciência da Computação;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;2;1
2018;Vestibular;Ciência da Computação;L13;Egresso de Escola Pública - Pessoa com deficiência;1;3
2018;Vestibular;Ciência da Computação;L13;Egresso de Escola Pública - Pessoa com deficiência;2;1
2018;Vestibular;Ciência da Computação;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;3
2018;Vestibular;Ciência da Computação;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Ciência da Computação;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;3
2018;Vestibular;Ciência da Computação;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;2;1
2018;Vestibular;Ciência da Computação;L3/L5;Egresso de Escola Pública;1;3
2018;Vestibular;Ciência da Computação;L3/L5;Egresso de Escola Pública;2;1
2018;Vestibular;Ciência da Computação;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;3
2018;Vestibular;Ciência da Computação;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;2;1
2018;Vestibular;Ciência da Computação;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;4
2018;Vestibular;Ciência da Computação;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;2;1
2018;Vestibular;Ciências Atuariais - Noturno;AC/A0;Ampla Concorrência;1;14
2018;Vestibular;Ciências Atuariais - Noturno;L1;Egresso de Escola Pública - Renda Inferior;1;1
2018;Vestibular;Ciências Atuariais - Noturno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Ciências Atuariais - Noturno;L13;Egresso de Escola Pública - Pessoa com deficiência;1;2
2018;Vestibular;Ciências Atuariais - Noturno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Ciências Atuariais - Noturno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;2
2018;Vestibular;Ciências Atuariais - Noturno;L3/L5;Egresso de Escola Pública;1;1
2018;Vestibular;Ciências Atuariais - Noturno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;2
2018;Vestibular;Ciências Atuariais - Noturno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;2
2018;Vestibular;Ciências Biológicas;AC/A0;Ampla Concorrência;1;18
2018;Vestibular;Ciências Biológicas;AC/A0;Ampla Concorrência;2;17
2018;Vestibular;Ciências Biológicas;L1;Egresso de Escola Pública - Renda Inferior;1;2
2018;Vestibular;Ciências Biológicas;L1;Egresso de Escola Pública - Renda Inferior;2;2
2018;Vestibular;Ciências Biológicas;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;3
2018;Vestibular;Ciências Biológicas;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Ciências Biológicas;L13;Egresso de Escola Pública - Pessoa com deficiência;1;2
2018;Vestibular;Ciências Biológicas;L13;Egresso de Escola Pública - Pessoa com deficiência;2;2
2018;Vestibular;Ciências Biológicas;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Ciências Biológicas;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;2;3
2018;Vestibular;Ciências Biológicas;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;2
2018;Vestibular;Ciências Biológicas;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;2;2
2018;Vestibular;Ciências Biológicas;L3/L5;Egresso de Escola Pública;1;2
2018;Vestibular;Ciências Biológicas;L3/L5;Egresso de Escola Pública;2;2
2018;Vestibular;Ciências Biológicas;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;2
2018;Vestibular;Ciências Biológicas;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;2;2
2018;Vestibular;Ciências Biológicas;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;2
2018;Vestibular;Ciências Biológicas;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;2;3
2018;Vestibular;Ciências Contábeis - Noturno;AC/A0;Ampla Concorrência;1;25
2018;Vestibular;Ciências Contábeis - Noturno;AC/A0;Ampla Concorrência;2;24
2018;Vestibular;Ciências Contábeis - Noturno;L1;Egresso de Escola Pública - Renda Inferior;1;3
2018;Vestibular;Ciências Contábeis - Noturno;L1;Egresso de Escola Pública - Renda Inferior;2;3
2018;Vestibular;Ciências Contábeis - Noturno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;3
2018;Vestibular;Ciências Contábeis - Noturno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;2;4
2018;Vestibular;Ciências Contábeis - Noturno;L13;Egresso de Escola Pública - Pessoa com deficiência;1;3
2018;Vestibular;Ciências Contábeis - Noturno;L13;Egresso de Escola Pública - Pessoa com deficiência;2;3
2018;Vestibular;Ciências Contábeis - Noturno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;3
2018;Vestibular;Ciências Contábeis - Noturno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;2;3
2018;Vestibular;Ciências Contábeis - Noturno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;3
2018;Vestibular;Ciências Contábeis - Noturno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;2;3
2018;Vestibular;Ciências Contábeis - Noturno;L3/L5;Egresso de Escola Pública;1;3
2018;Vestibular;Ciências Contábeis - Noturno;L3/L5;Egresso de Escola Pública;2;3
2018;Vestibular;Ciências Contábeis - Noturno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;3
2018;Vestibular;Ciências Contábeis - Noturno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;2;3
2018;Vestibular;Ciências Contábeis - Noturno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;3
2018;Vestibular;Ciências Contábeis - Noturno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;2;3
2018;Vestibular;Ciências Econômicas - Diurno;AC/A0;Ampla Concorrência;1;12
2018;Vestibular;Ciências Econômicas - Diurno;AC/A0;Ampla Concorrência;2;12
2018;Vestibular;Ciências Econômicas - Diurno;L1;Egresso de Escola Pública - Renda Inferior;1;2
2018;Vestibular;Ciências Econômicas - Diurno;L1;Egresso de Escola Pública - Renda Inferior;2;1
2018;Vestibular;Ciências Econômicas - Diurno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Ciências Econômicas - Diurno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Ciências Econômicas - Diurno;L13;Egresso de Escola Pública - Pessoa com deficiência;1;1
2018;Vestibular;Ciências Econômicas - Diurno;L13;Egresso de Escola Pública - Pessoa com deficiência;2;2
2018;Vestibular;Ciências Econômicas - Diurno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Ciências Econômicas - Diurno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;2;1
2018;Vestibular;Ciências Econômicas - Diurno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;2
2018;Vestibular;Ciências Econômicas - Diurno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;2;1
2018;Vestibular;Ciências Econômicas - Diurno;L3/L5;Egresso de Escola Pública;1;1
2018;Vestibular;Ciências Econômicas - Diurno;L3/L5;Egresso de Escola Pública;2;2
2018;Vestibular;Ciências Econômicas - Diurno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;1
2018;Vestibular;Ciências Econômicas - Diurno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;2;2
2018;Vestibular;Ciências Econômicas - Diurno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;2
2018;Vestibular;Ciências Econômicas - Diurno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;2;1
2018;Vestibular;Ciências Econômicas - Noturno;AC/A0;Ampla Concorrência;1;14
2018;Vestibular;Ciências Econômicas - Noturno;AC/A0;Ampla Concorrência;2;14
2018;Vestibular;Ciências Econômicas - Noturno;L1;Egresso de Escola Pública - Renda Inferior;1;2
2018;Vestibular;Ciências Econômicas - Noturno;L1;Egresso de Escola Pública - Renda Inferior;2;1
2018;Vestibular;Ciências Econômicas - Noturno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;2
